param_type,tolerance_percent,mzi_type,deviation_percent
n_group,2.0,MZI1,2.155787339320638
n_group,2.0,MZI2,5.600398846576718
n_group,2.0,MZI3,9.995324225866474
n_group,5.0,MZI1,5.375611630593277
n_group,5.0,MZI2,13.895433551722267
n_group,5.0,MZI3,24.67857644516671
n_group,8.0,MZI1,8.571817961336821
n_group,8.0,MZI2,22.068289728237946
n_group,8.0,MZI3,38.958426047032475
n_group,12.0,MZI1,12.812191887961442
n_group,12.0,MZI2,32.77690066963264
n_group,12.0,MZI3,57.32537564277022
n_group,18.0,MZI1,19.09869523233474
n_group,18.0,MZI2,48.39941172971399
n_group,18.0,MZI3,83.34019623400988
